time,mean,max,min,hor,ver,horabs,verabs
20220406_153453,0.353599274,0.569244504,0.05738258,-0.006205077,0.35064834,0.034225676,0.35064912
20220406_153454,0.335097277,0.569373131,0.017584415,-0.03591267,0.32956308,0.047377843,0.32956308
20220406_153454,0.333067392,0.671525538,0.011545143,-0.01851972,0.32923803,0.03805525,0.3292384
20220406_153454,0.356125952,0.568427682,0.034436334,-0.027021663,0.35225502,0.040804677,0.3522752
20220406_153455,0.359213985,0.584087133,0.018343922,-0.01737092,0.35564306,0.038929794,0.35565954
20220406_153455,0.358940595,0.593520522,0.008006941,-0.019154837,0.35522175,0.038303558,0.3553187
20220406_153455,0.36044212,0.577067077,0.043629084,-0.030426094,0.35596845,0.045490853,0.35598463
20220406_153456,0.351117889,0.590305567,0.005668622,-0.0259053,0.34661493,0.044070173,0.3466175
20220406_153456,0.361331589,0.800481379,0.004503513,-0.013738895,0.35754445,0.03924059,0.3576047
20220406_153456,0.360455675,0.613399088,0.046344291,-0.016842782,0.35661203,0.03906742,0.35661203
20220406_153457,0.359149455,0.568584561,0.0384789,-0.021058382,0.3549403,0.04264987,0.3549403
20220406_153457,0.363361273,0.644240439,0.013144556,0.000269616,0.3601924,0.036918454,0.36020842
20220406_153457,0.361169237,0.600291491,0.006017991,-0.009701017,0.35762864,0.038644135,0.35762957
20220406_153458,0.340058749,0.585334539,0.008001349,-0.04178664,0.334124,0.050792098,0.334124
