time,magmean,max,min,hor,ver,horabs,verabs
20220125_140500,2.494477701,12.15398788,0.004380799,1.4855084,-0.7669969,1.8472085,1.3848336
20220125_140501,2.512631935,12.02625084,0.002187677,1.52386,-0.74294144,1.86894,1.393227
20220125_140501,2.502105608,12.11346912,0.001996727,1.496316,-0.7453911,1.8564154,1.3922534
20220125_140502,2.516015533,12.50332451,0.005869634,1.52812,-0.7632497,1.879096,1.3848295
20220125_140502,2.514512025,12.64436531,0.002618995,1.5121874,-0.7618822,1.868588,1.3911405
20220125_140502,2.506156513,12.38262081,0.002464048,1.4997125,-0.75084174,1.8575866,1.385039
20220125_140503,2.488037636,12.27506065,0.003505631,1.5089524,-0.7534018,1.844319,1.377974
20220125_140503,2.472859353,12.62752628,0.001826795,1.5061451,-0.73682356,1.8415343,1.3544172
20220125_140504,2.498937359,12.5132637,0.004517965,1.4972903,-0.75032645,1.8742027,1.360253
20220125_140504,2.474386666,12.29488945,0.000818764,1.484308,-0.7367388,1.8414687,1.3663855
20220125_140505,2.485878223,12.11064816,0.003685762,1.4768708,-0.7513912,1.855033,1.3644558
20220125_140505,2.497701363,12.4777422,0.002794222,1.5008355,-0.7644715,1.8583523,1.3726072
20220125_140506,2.511522572,12.81787109,0.001651914,1.4974798,-0.7772866,1.8723475,1.3818302
20220125_140506,2.485710616,12.48780155,0.002150561,1.4848733,-0.7696823,1.8457158,1.3733293
20220125_140507,2.481603859,12.53516769,0.001345534,1.4685836,-0.74221736,1.8417053,1.3655908
20220125_140507,2.484741123,12.10278034,0.006256728,1.4551368,-0.7063856,1.8393409,1.3703982
20220125_140508,2.502336955,12.56798267,0.003236363,1.4532549,-0.6565809,1.8422213,1.3765167
20220125_140508,2.478691168,13.0021677,0.007774205,1.4119302,-0.61624795,1.8111252,1.3759965
20220125_140509,2.493835376,12.49741459,0.007428634,1.3771203,-0.57048905,1.8042109,1.3998771
20220125_140509,2.482510415,12.15124226,0.001341907,1.3269886,-0.5843875,1.779244,1.4166906
20220125_140510,2.451966607,12.06715298,0.006012417,1.2413688,-0.5237899,1.7146392,1.4247335
20220125_140510,2.426688461,12.20843887,0.004180189,1.1924796,-0.49958527,1.6901252,1.4166502
20220125_140511,2.428368839,12.18520451,0.003316336,1.1473365,-0.422264,1.6817472,1.4245148
20220125_140511,2.382482278,11.77066422,0.00308892,1.0759593,-0.4148031,1.6397007,1.3985627
